BAM,R1 FASTQs,R2 FASTQs,Paired-End,Cropped,Pooled,Duplicate FASTQs,Restricted,BAM Read Length,Mapped Reads,Unmapped Reads,Date Created,Donor,Biosample Ontology,BAM md5sum
ENCFF520IRT,ENCFF775XBQ,ENCFF511JSA,True,False,False,False,False,101,35515023,1154753,2016-05-06T18:10:12.090966+00:00,ENCDO793LXB,tissue_UBERON_0001157,dae32a04bf2c554016963b130263ee5b
ENCFF166YST,ENCFF300ZLE,ENCFF504IJP,True,False,False,False,False,101,137560391,7777587,2017-03-01T10:47:13.221901+00:00,ENCDO000ADM,cell_line_EFO_0002323,ed7277633de70d52db7224614d3471d1
ENCFF616NTX,ENCFF602MTV,,False,False,False,False,True,36,30036521,4454365,2018-01-25T03:01:02.430453+00:00,ENCDO243GQK,primary_cell_CL_0000594,99195128e5ea969b386b7e43cf6ce635
ENCFF031NXU,ENCFF000QEZ,,False,False,False,False,False,36,20861882,933190,2016-10-26T17:35:14.609562+00:00,ENCDO000AAD,cell_line_EFO_0002067,94474af542381b4f38ac3b93396f4532
ENCFF307THL,ENCFF000WKI,,False,False,False,False,False,28,16419022,12794964,2016-10-26T17:35:00.842152+00:00,ENCDO000ACE,cell_line_EFO_0005347,da9af5d319811197125bfc2e768ee3a0
ENCFF879GES,"ENCFF303RYF, ENCFF324AOR, ENCFF337HED",,False,False,True,True,False,76,67954917,2184662,2016-10-29T04:22:54.994285+00:00,ENCDO133EXU,cell_line_EFO_0005694,76f1125a37074cc0ca2784811239b3db
ENCFF164QLT,"ENCFF691QIG, ENCFF865BLC, ENCFF598YFV, ENCFF249UEG",,False,False,True,False,False,76,58649098,1676534,2016-10-27T22:01:13.823118+00:00,ENCDO793LXB,tissue_UBERON_0011907,4d6e67de47c2684dce645db28956c075
ENCFF610OXJ,ENCFF000XHP,,False,False,False,False,False,28,11548782,1086226,2016-10-26T17:41:27.651141+00:00,ENCDO000AAB,cell_line_EFO_0002791,00950fc08f456240411812748724465a
ENCFF098RZI,ENCFF001GXK,,False,False,False,False,False,36,9594713,135547,2016-08-09T16:01:45.209915+00:00,ENCDO002AAA,cell_line_CLO_0021752,7912edcdb629438ca8b10bcaaa593565
ENCFF585ORN,ENCFF000VJV,,False,False,False,False,False,32,66588418,17486452,2016-10-26T16:12:55.375933+00:00,ENCDO000ADH,cell_line_EFO_0005236,aaf65fa101a171259a0e67db8008ba07
